지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2019-10-23 00:00,15.8,,,,1.3,,50,,67,,11.9,9.6,,9,,,,0,0,,,11.7,,16.5,18.1,18.4,19.1
108,서울,2019-10-23 01:00,15.3,,,,1.8,,50,,68,,11.8,9.4,,9,,,,5,0,,,11.5,,16.1,17.8,18.3,19
108,서울,2019-10-23 02:00,14.7,,,,1.9,,70,,69,,11.5,9,,9,,,,6,0,,,11.5,,15.8,17.5,18.1,19
108,서울,2019-10-23 03:00,14.6,,,,2.1,,70,,70,,11.6,9.1,,9,,,,7,0,Ci,,11.8,,15.7,17.3,18.1,19
108,서울,2019-10-23 04:00,14.5,,,,2.6,,70,,74,,12.2,9.9,,9,,,,8,4,ScCi,15,12.5,,15.5,17.1,17.9,19
108,서울,2019-10-23 05:00,14.7,,,,3,,70,,68,,11.3,8.8,,9,,,,8,2,ScCi,17,13,,15.6,17,17.8,18.9
108,서울,2019-10-23 06:00,14.6,,,,2.8,,70,,68,,11.2,8.7,,9,,,,9,0,Ci,,12.5,,15.5,16.9,17.7,18.8
108,서울,2019-10-23 07:00,14.3,,,,2.1,,70,,67,,10.9,8.2,0,,0,,,9,0,Ci,,12.5,,15.4,16.8,17.6,18.8
108,서울,2019-10-23 08:00,14.7,,,,2.8,,70,,64,,10.6,7.9,0,,.12,,,9,0,Ci,,14.2,,15.4,16.6,17.4,18.6
108,서울,2019-10-23 09:00,15.5,,,,3.1,,70,,61,,10.7,8,0,,.36,,,9,0,Ci,,16.8,,15.7,16.6,17.3,18.6
108,서울,2019-10-23 10:00,16.8,,,,2.5,,90,,54,,10.3,7.4,0,,.74,,,9,0,Ci,,20.7,,16.4,16.6,17.3,18.5
108,서울,2019-10-23 11:00,18,,,,2.3,,70,,49,,10.1,7.1,.2,,1.11,,,9,0,Ci,,23.9,,17.4,16.9,17.2,18.4
108,서울,2019-10-23 12:00,18.9,,,,2.4,,70,,45,,9.7,6.6,0,,1.18,,,9,0,Ci,,26.1,,18.3,17.3,17.3,18.4
108,서울,2019-10-23 13:00,20,,,,1.6,,70,,46,,10.7,8,0,,1.3,,,10,0,Cs,,27.7,,19.3,17.8,17.4,18.4
108,서울,2019-10-23 14:00,20.6,,,,2,,50,,43,,10.4,7.5,.5,,1.33,,,9,0,Ci,,28.5,,20,18.3,17.5,18.4
108,서울,2019-10-23 15:00,20.7,,,,2.1,,70,,44,,10.6,7.9,0,,.94,,,9,0,Ci,,26,,20.3,18.7,17.7,18.4
