瘤痢,瘤痢疙,老矫,扁柯(∑C),浅氢(deg),浅加(m/s),碍荐樊(mm),泅瘤扁拘(hPa),秦搁扁拘(hPa),嚼档(%)
571,拳己,2018-11-01 01:00,4.1,28.9,1,0,,,73.5
571,拳己,2018-11-01 02:00,3.5,29.6,1.2,0,,,75.9
571,拳己,2018-11-01 03:00,3.3,31.7,1.4,0,,,74.8
571,拳己,2018-11-01 04:00,2.9,30.2,1.2,0,,,77.8
571,拳己,2018-11-01 05:00,3.1,26.4,1.5,0,,,75.9
571,拳己,2018-11-01 06:00,3.1,24.3,1.4,0,,,76.5
571,拳己,2018-11-01 07:00,2.9,30.3,1,0,,,78.1
571,拳己,2018-11-01 08:00,3.5,0,0,0,,,78.4
571,拳己,2018-11-01 09:00,7.7,172.2,.5,0,,,62.4
571,拳己,2018-11-01 10:00,11,82.8,.9,0,,,45.1
571,拳己,2018-11-01 11:00,12.2,271.3,1.8,0,,,38.7
571,拳己,2018-11-01 12:00,13,293.7,2.3,0,,,30.1
571,拳己,2018-11-01 13:00,14.2,295.1,1.9,0,,,29.8
571,拳己,2018-11-01 14:00,14.8,344.7,1.5,0,,,28.9
571,拳己,2018-11-01 15:00,15,292,1.7,0,,,28.9
571,拳己,2018-11-01 16:00,14.3,274.5,1.3,0,,,29.1
571,拳己,2018-11-01 17:00,12.8,276.2,1.3,0,,,35.8
571,拳己,2018-11-01 18:00,10.3,294.2,.6,0,,,46.3
571,拳己,2018-11-01 19:00,8.6,0,.4,0,,,53.7
571,拳己,2018-11-01 20:00,7.8,18.2,.5,0,,,57
571,拳己,2018-11-01 21:00,7.6,31.9,.9,0,,,60.1
571,拳己,2018-11-01 22:00,7.7,28.1,1.3,0,,,63.8
571,拳己,2018-11-01 23:00,5.2,274.5,.5,0,,,72.3
571,拳己,2018-11-02 00:00,6.2,31.7,1.1,0,,,68.9
571,拳己,2018-11-02 01:00,5.4,0,.3,0,,,71.4
571,拳己,2018-11-02 02:00,5.4,287,.5,0,,,72.6
571,拳己,2018-11-02 03:00,6,281.4,.8,0,,,69.6
571,拳己,2018-11-02 04:00,6.2,0,.4,0,,,67.4
571,拳己,2018-11-02 05:00,5.2,48.7,.6,0,,,72.5
571,拳己,2018-11-02 06:00,5.2,281.7,1,0,,,74.7
571,拳己,2018-11-02 07:00,4.1,0,.1,0,,,78.3
571,拳己,2018-11-02 08:00,5.4,44.9,1.4,0,,,75.2
571,拳己,2018-11-02 09:00,8.9,171.7,1.4,0,,,63.5
571,拳己,2018-11-02 10:00,12.4,189.7,2,0,,,47.8
571,拳己,2018-11-02 11:00,14.2,185.5,1.3,0,,,44.7
571,拳己,2018-11-02 12:00,16,360,1.2,0,,,40.3
571,拳己,2018-11-02 13:00,17.6,144.3,1,0,,,34.3
571,拳己,2018-11-02 14:00,18.5,198.3,.9,0,,,26.9
571,拳己,2018-11-02 15:00,19.3,150.9,.7,0,,,25.4
571,拳己,2018-11-02 16:00,16.9,293,1.5,0,,,38.6
571,拳己,2018-11-02 17:00,15.5,287.2,1.4,0,,,46.7
571,拳己,2018-11-02 18:00,13.5,335.2,1.1,0,,,52.4
571,拳己,2018-11-02 19:00,12.9,338.6,1.9,0,,,60.6
571,拳己,2018-11-02 20:00,11.3,16.6,1,0,,,67.5
571,拳己,2018-11-02 21:00,10.1,19.1,1.2,0,,,73
571,拳己,2018-11-02 22:00,9.8,324.6,.7,0,,,74.1
571,拳己,2018-11-02 23:00,7.7,0,0,0,,,83.8
571,拳己,2018-11-03 00:00,8,16,1.1,0,,,85.5
571,拳己,2018-11-03 01:00,7.6,28.6,1,0,,,84.5
571,拳己,2018-11-03 02:00,7,38.4,1.6,0,,,84.7
571,拳己,2018-11-03 03:00,6.6,41,1.7,0,,,85.1
571,拳己,2018-11-03 04:00,5.3,0,.2,0,,,85.7
571,拳己,2018-11-03 05:00,5.8,272.7,.6,0,,,89.8
571,拳己,2018-11-03 06:00,5.7,0,.4,0,,,91.6
571,拳己,2018-11-03 07:00,5.6,0,.3,0,,,91.9
571,拳己,2018-11-03 08:00,5.8,53.7,1.3,0,,,89
571,拳己,2018-11-03 09:00,9.2,181.7,.8,0,,,78.9
571,拳己,2018-11-03 10:00,11.5,207.8,1.5,0,,,68.2
571,拳己,2018-11-03 11:00,14.3,25.4,.9,0,,,55.2
571,拳己,2018-11-03 12:00,15.8,277.6,.8,0,,,41.4
571,拳己,2018-11-03 13:00,18.2,186.1,1.3,0,,,35.8
571,拳己,2018-11-03 14:00,18.1,204.7,2,0,,,32.5
571,拳己,2018-11-03 15:00,16.9,295.5,2.4,0,,,37.1
571,拳己,2018-11-03 16:00,16.9,320.7,1.3,0,,,35.8
571,拳己,2018-11-03 17:00,14.8,341,1.1,0,,,42
571,拳己,2018-11-03 18:00,12.4,295.9,.7,0,,,59.1
571,拳己,2018-11-03 19:00,11.6,37.7,.6,0,,,61
571,拳己,2018-11-03 20:00,10.5,25.4,.8,0,,,68.3
571,拳己,2018-11-03 21:00,9.6,25.9,1.3,0,,,73.8
571,拳己,2018-11-03 22:00,8.9,24.9,1.3,0,,,76.3
571,拳己,2018-11-03 23:00,8.1,32.9,1.4,0,,,79.9
571,拳己,2018-11-04 00:00,7.3,27.3,1,0,,,82.2
571,拳己,2018-11-04 01:00,6,0,.3,0,,,83.7
571,拳己,2018-11-04 02:00,5.9,0,.1,0,,,87.4
571,拳己,2018-11-04 03:00,6.2,0,.1,0,,,90.6
571,拳己,2018-11-04 04:00,5.9,26.8,1.7,0,,,90.2
571,拳己,2018-11-04 05:00,4.3,102.8,.5,0,,,86.2
571,拳己,2018-11-04 06:00,4.6,0,.2,0,,,90.5
571,拳己,2018-11-04 07:00,4.5,29.5,1.1,0,,,91.8
571,拳己,2018-11-04 08:00,4.3,0,.2,0,,,90.4
571,拳己,2018-11-04 09:00,8.9,198.8,.7,0,,,92.5
571,拳己,2018-11-04 10:00,12.9,71.2,.7,0,,,58.2
571,拳己,2018-11-04 11:00,14.3,306,1.6,0,,,51.3
571,拳己,2018-11-04 12:00,16.9,91.2,1.2,0,,,38.9
571,拳己,2018-11-04 13:00,18.4,54.9,1.8,0,,,22
571,拳己,2018-11-04 14:00,18.4,301.7,1.9,0,,,29.4
571,拳己,2018-11-04 15:00,17.9,297.5,1.6,0,,,26.9
571,拳己,2018-11-04 16:00,17.4,319.8,1.5,0,,,27.4
571,拳己,2018-11-04 17:00,14.2,318.7,.6,0,,,45.8
571,拳己,2018-11-04 18:00,12.4,0,.4,0,,,53
571,拳己,2018-11-04 19:00,11.7,0,.3,0,,,58.7
571,拳己,2018-11-04 20:00,10.8,0,.4,0,,,66.6
571,拳己,2018-11-04 21:00,9.8,0,.4,0,,,74.3
571,拳己,2018-11-04 22:00,9.6,0,.4,0,,,75.5
571,拳己,2018-11-04 23:00,9.2,22.7,.6,0,,,77.1
571,拳己,2018-11-05 00:00,7.6,0,.2,0,,,83.5
571,拳己,2018-11-05 01:00,7.6,0,0,0,,,85.6
571,拳己,2018-11-05 02:00,7.3,0,0,0,,,86.4
571,拳己,2018-11-05 03:00,6.9,42,.8,0,,,89.6
571,拳己,2018-11-05 04:00,7,0,.1,0,,,91.2
571,拳己,2018-11-05 05:00,6.6,37,1.6,0,,,87.8
571,拳己,2018-11-05 06:00,5.6,0,0,0,,,87
571,拳己,2018-11-05 07:00,5.7,273.9,.6,0,,,90.9
571,拳己,2018-11-05 08:00,6.4,0,0,0,,,92.7
571,拳己,2018-11-05 09:00,9.4,219.7,.8,0,,,91.2
571,拳己,2018-11-05 10:00,12.3,72,.6,0,,,66.7
571,拳己,2018-11-05 11:00,14.4,174.2,1.4,0,,,60.7
571,拳己,2018-11-05 12:00,16.2,186,1.8,0,,,53.5
571,拳己,2018-11-05 13:00,16.3,331.2,1,0,,,47.1
571,拳己,2018-11-05 14:00,16.9,328.4,1,0,,,42.6
571,拳己,2018-11-05 15:00,17.3,347.1,1.5,0,,,41.9
571,拳己,2018-11-05 16:00,16.2,296.5,1.3,0,,,49.5
571,拳己,2018-11-05 17:00,14.2,0,.4,0,,,57.4
571,拳己,2018-11-05 18:00,12.4,0,.1,0,,,70.2
571,拳己,2018-11-05 19:00,12.4,330,.7,0,,,73.2
571,拳己,2018-11-05 20:00,11.4,8.8,.5,0,,,77.7
571,拳己,2018-11-05 21:00,10.9,11.2,.7,0,,,80.7
571,拳己,2018-11-05 22:00,9.8,0,.1,0,,,84.6
571,拳己,2018-11-05 23:00,10,35.8,.7,0,,,86.3
571,拳己,2018-11-06 00:00,9,0,0,0,,,89.2
571,拳己,2018-11-06 01:00,9.4,265.8,1,0,,,93.1
571,拳己,2018-11-06 02:00,8.6,39.3,.5,0,,,93.1
571,拳己,2018-11-06 03:00,8.3,284.3,.6,0,,,93.2
571,拳己,2018-11-06 04:00,8.4,0,.4,0,,,93.5
571,拳己,2018-11-06 05:00,9.4,0,.1,0,,,93.7
571,拳己,2018-11-06 06:00,9.2,0,.4,0,,,93.1
571,拳己,2018-11-06 07:00,9.3,0,.3,0,,,93.3
571,拳己,2018-11-06 08:00,10,206,.9,0,,,93.9
571,拳己,2018-11-06 09:00,10.2,180.3,1.7,0,,,94.2
571,拳己,2018-11-06 10:00,10.8,177.4,.8,0,,,94.5
571,拳己,2018-11-06 11:00,11.5,204,.7,0,,,94.5
571,拳己,2018-11-06 12:00,14,59.5,.8,0,,,75.1
571,拳己,2018-11-06 13:00,16,266.1,.6,0,,,62.4
571,拳己,2018-11-06 14:00,15.8,275.5,1.4,0,,,59.2
571,拳己,2018-11-06 15:00,16.1,315.3,1.5,0,,,56.1
571,拳己,2018-11-06 16:00,15.2,352.3,1.1,0,,,60.6
571,拳己,2018-11-06 17:00,13.9,331.4,1.1,0,,,65.2
571,拳己,2018-11-06 18:00,13.1,331.7,1.8,0,,,72
571,拳己,2018-11-06 19:00,12.6,.3,.9,0,,,76.9
571,拳己,2018-11-06 20:00,12.6,336,1.2,0,,,78.6
571,拳己,2018-11-06 21:00,12.1,0,.1,0,,,81.7
571,拳己,2018-11-06 22:00,12,0,.2,0,,,79.8
