지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
121,영월,2013-01-01,-15.2,-3.2,1.5,.5,87.1,9.7,,
121,영월,2013-01-02,-14.8,-1.9,2.5,3.5,42.4,9.7,,
121,영월,2013-01-03,-21.6,-9.3,,1.3,61.1,9.7,,
121,영월,2013-01-04,-22.6,-5,,.7,67.4,9.7,,
121,영월,2013-01-05,-19.9,-1.7,,1,72,9.7,,
121,영월,2013-01-06,-14.9,0,,.7,73.3,9.7,,
121,영월,2013-01-07,-15.3,.2,,.7,69.9,9.8,,
121,영월,2013-01-08,-13.6,1.1,,1.1,63.5,9.8,,
121,영월,2013-01-09,-13.5,-3.9,,2.1,49,9.8,,
121,영월,2013-01-10,-19.4,-3,,1,61,9.8,,
121,영월,2013-01-11,-17.8,.6,,.7,68.5,9.8,,
121,영월,2013-01-12,-9.6,3.7,,1.1,77.6,9.8,,
121,영월,2013-01-13,-8.5,2.6,,.4,80.8,9.8,,
121,영월,2013-01-14,-10.2,4.2,,1,78.1,9.9,,
121,영월,2013-01-15,-11.5,4.2,,.5,74.9,9.9,,
121,영월,2013-01-16,-9.7,2,0,1.2,78,9.9,,
121,영월,2013-01-17,-5.3,-.6,,1.6,68,9.9,,
121,영월,2013-01-18,-9.3,.4,,1.5,60.8,10,,
121,영월,2013-01-19,-11.4,3.7,,.9,70.5,10,,
121,영월,2013-01-20,-9.5,6,,1.1,70.1,10,,
121,영월,2013-01-21,.7,2.7,17.5,.9,91.1,10,,
121,영월,2013-01-22,1.2,5,1.5,1.5,78.8,10.1,,
121,영월,2013-01-23,.5,2.7,1,1.1,84.4,10.1,,
121,영월,2013-01-24,-5.4,1.6,1,2.7,69.1,10.1,,
121,영월,2013-01-25,-10.4,-4.8,,4.1,35.3,10.2,,
121,영월,2013-01-26,-13.7,-3.8,,2.2,45.4,10.2,,
121,영월,2013-01-27,-15.9,-3,,1.5,64.3,10.2,,
121,영월,2013-01-28,-15,1.2,,1,63.5,10.2,,
121,영월,2013-01-29,-3.3,4.5,,.5,76.1,10.3,,
121,영월,2013-01-30,.1,10.5,,.6,77.8,10.3,,
121,영월,2013-01-31,-2.5,12.3,,.6,78.1,10.3,,
121,영월,2013-02-01,2,9.5,40,1.2,93,10.4,,
121,영월,2013-02-02,-3.4,8.7,,3,64.3,10.4,,
121,영월,2013-02-03,-7.5,1.2,1.5,.9,69.5,10.4,,
121,영월,2013-02-04,-3.4,4.7,6,1.5,83.8,10.5,,
121,영월,2013-02-05,-5.3,0,2.5,.6,92.6,10.5,,
121,영월,2013-02-06,-2.9,2.9,2.5,1.8,81.1,10.5,,
121,영월,2013-02-07,-14.1,-2.8,,4,41.1,10.6,,
121,영월,2013-02-08,-17.3,-4.4,,1.6,52.5,10.6,,
121,영월,2013-02-09,-16.8,-2.1,,1.1,65.3,10.6,,
121,영월,2013-02-10,-11.8,1.2,.5,2,65.8,10.7,,
121,영월,2013-02-11,-12.7,1.3,,1.2,55.3,10.7,,
121,영월,2013-02-12,-6.7,1.7,,1.6,59.6,10.7,,
121,영월,2013-02-13,-10.9,3.8,,1.2,63.5,10.8,,
121,영월,2013-02-14,-6.7,7.8,,.8,56.1,10.8,,
121,영월,2013-02-15,-4.7,4.9,,2.2,45.9,10.9,,
121,영월,2013-02-16,-11.1,3.1,,1.1,48.4,10.9,,
121,영월,2013-02-17,-5.5,7.5,,1.1,49.8,10.9,,
121,영월,2013-02-18,.1,9,,1.5,48.8,11,,
121,영월,2013-02-19,-4.6,4.2,,2.4,45.5,11,,
121,영월,2013-02-20,-8.8,2.3,,2.8,34,11,,
121,영월,2013-02-21,-9,3,,2,45.8,11.1,,
121,영월,2013-02-22,-7.2,5.2,1.5,1.8,57.3,11.1,,
121,영월,2013-02-23,-8.8,3.3,,2.3,47.6,11.1,,
121,영월,2013-02-24,-7.1,6.6,,1.5,51.9,11.2,,
121,영월,2013-02-25,-6.3,8.1,,.7,53.6,11.2,,
121,영월,2013-02-26,-4.2,9.5,,.8,58.6,11.3,,
121,영월,2013-02-27,-.1,12.5,,1.8,57,11.3,,
121,영월,2013-02-28,-4.4,14.5,,.6,57.9,11.3,,
121,영월,2013-03-01,-2.2,7.4,2.5,3.5,56.9,11.4,,
121,영월,2013-03-02,-6.8,5.4,,1.7,52.4,11.4,,
121,영월,2013-03-03,-5.6,6.7,,1.6,56.9,11.5,,
121,영월,2013-03-04,-5.7,6.7,,1.2,67.1,11.5,,
121,영월,2013-03-05,-5.9,11.6,,1.4,59.3,11.5,,
121,영월,2013-03-06,-4.7,15.1,,.7,53.5,11.6,,
121,영월,2013-03-07,-1.3,10.2,.5,.8,86.1,11.6,,
121,영월,2013-03-08,1.9,16.8,,1.7,73.5,11.7,,
121,영월,2013-03-09,-1.4,24.7,,1.9,56.1,11.7,,
121,영월,2013-03-10,-1.2,16.5,,3.2,40.4,11.7,,
121,영월,2013-03-11,-5.8,13.9,,1.2,49.4,11.8,,
121,영월,2013-03-12,-4.2,15.6,.3,1.2,56.8,11.8,,
121,영월,2013-03-13,1.4,9,20.5,2.2,79.9,11.8,,
121,영월,2013-03-14,.5,10.3,,1.8,58.3,11.9,,
121,영월,2013-03-15,-2.8,13.2,,1.5,57.6,11.9,,
121,영월,2013-03-16,-2.3,15.3,,1.1,51.5,12,,
121,영월,2013-03-17,-3.5,20.6,1,1.5,51.6,12,,
121,영월,2013-03-18,5.7,16.2,12,2.1,73.8,12.1,,
121,영월,2013-03-19,2.7,15.7,,1.4,59.9,12.1,,
121,영월,2013-03-20,-2.1,9,7,2.4,64.1,12.1,,
121,영월,2013-03-21,-6.6,9.5,,1.5,48.9,12.2,,
121,영월,2013-03-22,-4.2,9,,1.7,63.6,12.2,,
121,영월,2013-03-23,-2.5,15.3,,1.1,60.3,12.2,,
121,영월,2013-03-24,-1.4,12.7,,1.7,51.3,12.3,,
121,영월,2013-03-25,-.7,8.7,,2,53.1,12.3,,
121,영월,2013-03-26,-4.6,12.3,,1.2,48,12.4,,
121,영월,2013-03-27,-2.2,17.8,,1.4,46.5,12.4,,
121,영월,2013-03-28,-1.1,16.9,,1.5,56.6,12.5,,
121,영월,2013-03-29,-.6,13.5,,2,42.6,12.5,,
121,영월,2013-03-30,-1.3,13.5,.4,1.6,56.5,12.5,,
121,영월,2013-03-31,1.3,13.3,.4,1.3,62,12.6,,
121,영월,2013-04-01,-2,17.6,,1,50.3,12.6,,
121,영월,2013-04-02,5,11,1,1.5,77.1,12.6,,
121,영월,2013-04-03,4.9,17.6,,2.1,56.4,12.7,,
121,영월,2013-04-04,1.5,22.6,,1.3,46.4,12.7,,
121,영월,2013-04-05,3.4,24.2,,1.6,42.5,12.8,,
121,영월,2013-04-06,2,12.7,20.5,1.2,82.4,12.8,,
121,영월,2013-04-07,.9,6.7,1,2.3,75,12.8,,
121,영월,2013-04-08,-1.5,15.4,,2.1,53.5,12.9,,
121,영월,2013-04-09,2.9,11.9,.5,4,53,12.9,,
121,영월,2013-04-10,.1,8.8,0,2.8,49.8,13,,
121,영월,2013-04-11,.9,10.1,.5,3.5,53.4,13,,
121,영월,2013-04-12,-2,11.3,,2.1,51,13,,
121,영월,2013-04-13,-2.4,19.3,,2,43,13.1,,
121,영월,2013-04-14,2.8,16,8,3.3,55.9,13.1,,
121,영월,2013-04-15,-1.8,10.3,,.7,52.1,13.2,,
121,영월,2013-04-16,2.2,27.8,,1.9,54.5,13.2,,
121,영월,2013-04-17,7,15.2,4,2.3,77.1,13.2,,
121,영월,2013-04-18,7.1,17.3,,2.4,57,13.3,,
121,영월,2013-04-19,2.5,16.5,,2.4,38.9,13.3,,
121,영월,2013-04-20,.8,7,11.5,.9,86.1,13.3,,
121,영월,2013-04-21,3.9,14.9,,1.8,57.8,13.4,,
121,영월,2013-04-22,.2,19.4,,1.3,51.6,13.4,,
121,영월,2013-04-23,7.3,13,9.5,.8,78.5,13.4,,
121,영월,2013-04-24,8.8,20.4,3,2.1,68.6,13.5,,
121,영월,2013-04-25,5.1,14.2,7.5,1.2,81.4,13.5,,
121,영월,2013-04-26,5.5,15.2,2,2.2,73.6,13.6,,
121,영월,2013-04-27,5.9,19.4,,1.7,63.1,13.6,,
121,영월,2013-04-28,3.5,24.4,,1.1,58.3,13.6,,
121,영월,2013-04-29,9.7,17.2,6.5,2.1,67.1,13.7,,
121,영월,2013-04-30,2.6,21.8,,2.5,52.3,13.7,,
121,영월,2013-05-01,8.5,18.1,,2,52.9,13.7,,
121,영월,2013-05-02,4.3,14.6,5,1.1,83.4,13.8,,
121,영월,2013-05-03,5.9,17.9,,2,65.9,13.8,,
121,영월,2013-05-04,6.3,20.6,,1.7,57.6,13.8,,
121,영월,2013-05-05,4.8,23.8,,2.3,49.8,13.9,,
121,영월,2013-05-06,5.3,25.9,,1.6,48.3,13.9,,
121,영월,2013-05-07,9.8,27.1,,1.5,50.1,13.9,,
121,영월,2013-05-08,8.8,29,,1.3,53.9,14,,
121,영월,2013-05-09,8.6,26.8,1.5,1.1,62.8,14,,
121,영월,2013-05-10,11.5,18.1,24,1.1,91,14,,
121,영월,2013-05-11,10.2,25.4,,1.6,62.1,14,,
121,영월,2013-05-12,9.7,27.8,,2.2,60.8,14.1,,
121,영월,2013-05-13,12.2,29.5,,1.4,57,14.1,,
121,영월,2013-05-14,10,26.6,,1.1,57.6,14.1,,
121,영월,2013-05-15,12.7,26,,2.3,54.8,14.2,,
121,영월,2013-05-16,11.6,26.8,,2.9,45.6,14.2,,
121,영월,2013-05-17,7.7,26.2,,2,51.5,14.2,,
121,영월,2013-05-18,10,25.9,1.5,1.1,59.6,14.2,,
121,영월,2013-05-19,12.6,20,29.5,1.2,85.6,14.3,,
121,영월,2013-05-20,10.1,20.7,,2,74.1,14.3,,
121,영월,2013-05-21,7.7,27.3,,1.5,60.6,14.3,,
121,영월,2013-05-22,8.1,27.2,,.9,68.8,14.3,,
121,영월,2013-05-23,13.8,31.2,,1,63.1,14.4,,
121,영월,2013-05-24,12.1,31.5,,1.1,63.6,14.4,,
121,영월,2013-05-25,14.8,32.2,,.7,65.4,14.4,,
121,영월,2013-05-26,16.9,31,,1,60.6,14.4,,
121,영월,2013-05-27,16.9,23.5,29,2.8,76.5,14.5,,
121,영월,2013-05-28,17.7,22.3,21.5,2.2,89.1,14.5,,
121,영월,2013-05-29,15.1,19.4,.1,1.8,83.8,14.5,,
121,영월,2013-05-30,11.1,27,,1.4,66.3,14.5,,
121,영월,2013-05-31,9.4,29.7,,.9,60.4,14.5,,
121,영월,2013-06-01,13.7,27.8,,.6,68.1,14.6,,
121,영월,2013-06-02,12.1,30.3,,1.8,58.4,14.6,,
121,영월,2013-06-03,12.4,29.8,,1,62.6,14.6,,
121,영월,2013-06-04,15.7,29.8,,1.1,65.3,14.6,,
121,영월,2013-06-05,14.9,31.1,,1.4,69.4,14.6,,
121,영월,2013-06-06,17,28.6,2.5,1.6,83.4,14.6,,
121,영월,2013-06-07,16.5,31.5,,1.5,69.6,14.6,,
121,영월,2013-06-08,16.6,30.4,,1.6,68,14.7,,
121,영월,2013-06-09,14.5,30.6,,2.3,60.5,14.7,,
121,영월,2013-06-10,12.9,32.2,,1.6,58.3,14.7,,
121,영월,2013-06-11,14.5,28.1,.5,1.9,71.8,14.7,,
121,영월,2013-06-12,18.1,26.1,1.5,1,87.5,14.7,,
121,영월,2013-06-13,19.5,28.1,,.8,78.4,14.7,,
121,영월,2013-06-14,19.9,28,.1,1,81,14.7,,
121,영월,2013-06-15,19.5,30.9,,1.3,71.6,14.7,,
121,영월,2013-06-16,19.1,32.7,,1.4,67.4,14.7,,
121,영월,2013-06-17,18.2,28.8,0,1.5,67.9,14.7,,
121,영월,2013-06-18,19.7,22.6,96,.6,95.9,14.7,,
