ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%),°¡Á¶½Ã°£(hr),ÇÕ°è ÀÏ»ç·®(MJ/m2),Æò±Õ Àü¿î·®(1/10)
105,°­¸ª,2017-01-01,4,9.2,,4.4,39.4,9.6,8.81,
105,°­¸ª,2017-01-02,6.2,11.8,,4.1,44.6,9.6,9.91,
105,°­¸ª,2017-01-03,3,12.3,,3.1,32.1,9.6,10.73,
105,°­¸ª,2017-01-04,2.2,10.4,,2.5,42.8,9.7,10.44,
105,°­¸ª,2017-01-05,1.4,3.7,6,1.6,81.3,9.7,1.24,
105,°­¸ª,2017-01-06,2.4,10,0,1.7,74,9.7,10.14,
105,°­¸ª,2017-01-07,2.4,12.3,,2.5,56.9,9.7,9.97,
105,°­¸ª,2017-01-08,4.2,7.5,1.5,1.7,79.8,9.7,2.92,
105,°­¸ª,2017-01-09,3.3,10.3,.5,3.1,48,9.7,11.03,
105,°­¸ª,2017-01-10,-2.1,5.1,,3.6,28.8,9.7,11.29,
105,°­¸ª,2017-01-11,-4.9,3.7,,3.1,23,9.8,12,
105,°­¸ª,2017-01-12,-2.5,5.6,,3.2,27.6,9.8,11.31,
105,°­¸ª,2017-01-13,-5.1,.9,,3.5,30.9,9.8,10.39,
105,°­¸ª,2017-01-14,-8.2,-2.5,,3.7,22.8,9.8,12.53,
105,°­¸ª,2017-01-15,-7.2,4.9,,3.2,21.8,9.8,12.64,
105,°­¸ª,2017-01-16,-4.4,3.8,,3.1,45.9,9.9,9.33,
105,°­¸ª,2017-01-17,-2.7,8.3,,2.8,32,9.9,11.81,
105,°­¸ª,2017-01-18,.1,8.4,,3.3,36.6,9.9,10.27,
105,°­¸ª,2017-01-19,-1.2,7.6,,2.4,46.5,9.9,10.66,
105,°­¸ª,2017-01-20,-4.9,2.1,24,2.5,71.3,10,1.84,
105,°­¸ª,2017-01-21,-5.2,1.6,,4.2,50.3,10,11.86,
105,°­¸ª,2017-01-22,-7.5,.1,,3.8,39,10,13.03,
105,°­¸ª,2017-01-23,-9.6,.2,,3.6,35.8,10.1,12.8,
105,°­¸ª,2017-01-24,-6.9,2.4,,2.8,31.3,10.1,13.54,
105,°­¸ª,2017-01-25,-5,5.5,,2.8,28.8,10.1,13.75,
105,°­¸ª,2017-01-26,-2.8,8.6,,3.7,26.3,10.1,9.77,
105,°­¸ª,2017-01-27,-.1,6.8,0,4.4,33.5,10.2,13.64,
105,°­¸ª,2017-01-28,-2.8,8,,2.6,39.4,10.2,12.74,
105,°­¸ª,2017-01-29,1.1,5.4,4.5,1.2,62.8,10.2,1.46,
105,°­¸ª,2017-01-30,-3.1,3.2,12,2.4,72.9,10.3,5.77,
105,°­¸ª,2017-01-31,-4.9,3.6,,3,36.1,10.3,9.26,
105,°­¸ª,2017-02-01,-1.6,5,,3.7,30.6,10.3,14.16,
105,°­¸ª,2017-02-02,-2.3,9.7,,4.5,21.5,10.4,15.32,
105,°­¸ª,2017-02-03,1.1,11,,3.9,30.9,10.4,14.72,
105,°­¸ª,2017-02-04,2.7,12.8,,2.3,31.3,10.4,11.1,
105,°­¸ª,2017-02-05,3.2,10,,2.2,44.9,10.5,6.4,
105,°­¸ª,2017-02-06,-.1,5.4,,2.9,38.4,10.5,13.41,
105,°­¸ª,2017-02-07,-2.1,6.3,,2.6,45.8,10.5,10.03,
105,°­¸ª,2017-02-08,-.7,7.3,,2.7,35.1,10.6,8.13,
105,°­¸ª,2017-02-09,-4.9,2.8,,3.7,35.9,10.6,9.49,
105,°­¸ª,2017-02-10,-6.9,0,,4,34.5,10.6,15.93,
105,°­¸ª,2017-02-11,-6.7,2.8,,3.7,31.3,10.7,15.92,
105,°­¸ª,2017-02-12,-3.2,5.3,,2.8,35,10.7,15.94,
105,°­¸ª,2017-02-13,-1.5,8.2,,2.8,32.5,10.7,15.82,
105,°­¸ª,2017-02-14,-2.3,7.4,,1.9,51.9,10.8,13.26,
105,°­¸ª,2017-02-15,1.2,13.3,,3.4,24.4,10.8,14.91,
105,°­¸ª,2017-02-16,7.3,15.5,,5.9,28.6,10.9,16.61,
105,°­¸ª,2017-02-17,2.3,14.3,,2.7,49.9,10.9,5.67,
105,°­¸ª,2017-02-18,-1.9,6.1,,3.5,26.4,10.9,16.39,
105,°­¸ª,2017-02-19,-.7,9.8,,3.4,36.5,11,8.14,
105,°­¸ª,2017-02-20,-2.1,9.9,,3.3,44.6,11,13.05,
105,°­¸ª,2017-02-21,-3.3,6.4,,2.8,47.3,11.1,17.12,
105,°­¸ª,2017-02-22,-.1,9.1,3.5,1.3,64.1,11.1,5.46,
105,°­¸ª,2017-02-23,.2,6.3,,2.7,47.6,11.1,14,
105,°­¸ª,2017-02-24,-2.6,7.7,,3.6,32.5,11.2,18.79,
105,°­¸ª,2017-02-25,.8,9.7,,3.5,31.1,11.2,18.14,
105,°­¸ª,2017-02-26,.6,7.8,,2.2,47.6,11.2,13.84,
105,°­¸ª,2017-02-27,-1.1,10.3,,2.5,58.3,11.3,16.37,
105,°­¸ª,2017-02-28,1.7,14.1,,2.7,30,11.3,17.26,
105,°­¸ª,2017-03-01,5.3,13.5,3,1.8,50.5,11.4,7.99,
105,°­¸ª,2017-03-02,.4,5.4,16,1.7,83.1,11.4,2.33,
105,°­¸ª,2017-03-03,.3,12.3,,3.6,35.8,11.4,18.34,
105,°­¸ª,2017-03-04,3,11.7,,2,47.4,11.5,14.14,
105,°­¸ª,2017-03-05,.8,12.1,,1.6,61.3,11.5,12.92,
105,°­¸ª,2017-03-06,-.1,7.6,,2.8,41.4,11.6,14.28,
105,°­¸ª,2017-03-07,-2.3,6.1,,3.3,23.6,11.6,20.88,
105,°­¸ª,2017-03-08,-2.9,6.8,,4.1,33.1,11.7,20.55,
105,°­¸ª,2017-03-09,.4,10.5,,4.1,31,11.7,17.51,
105,°­¸ª,2017-03-10,.8,11,,2.5,34.4,11.7,20.88,
105,°­¸ª,2017-03-11,.8,13.9,,2.4,30.3,11.8,19.87,
105,°­¸ª,2017-03-12,8.2,14.6,,2,34.6,11.8,7.63,
105,°­¸ª,2017-03-13,2.6,10.7,,2.5,51,11.8,17.27,
105,°­¸ª,2017-03-14,.6,6.8,7.5,2.3,72.8,11.9,4.51,
105,°­¸ª,2017-03-15,0,9.3,,2.8,58.9,11.9,18.25,
105,°­¸ª,2017-03-16,-1.1,12.4,,2.1,52,12,20.2,
105,°­¸ª,2017-03-17,3.8,13.8,,2.4,35.8,12,21.42,
105,°­¸ª,2017-03-18,7.4,17.2,,2.4,26.9,12,13.22,
105,°­¸ª,2017-03-19,4.6,16.2,,2.1,37.8,12.1,20.71,
105,°­¸ª,2017-03-20,5.4,17.3,,1.7,30.9,12.1,10.7,
105,°­¸ª,2017-03-21,2.3,12.2,12,2.4,66,12.2,6.64,
105,°­¸ª,2017-03-22,3.6,13,,2,47.3,12.2,21.61,
105,°­¸ª,2017-03-23,3,11.8,.5,2,61.4,12.3,7.86,
105,°­¸ª,2017-03-24,2.8,10.9,,1.9,58.8,12.3,10.54,
105,°­¸ª,2017-03-25,2.8,9.5,2,1.6,73.6,12.3,7.55,
105,°­¸ª,2017-03-26,3.3,11.1,1,1.7,73.1,12.4,10.4,
105,°­¸ª,2017-03-27,3.5,11,,2.2,56.8,12.4,9.78,
105,°­¸ª,2017-03-28,4.5,13,,2.1,42.5,12.5,16.12,
105,°­¸ª,2017-03-29,7.2,15.8,,2.3,32.1,12.5,21.43,
105,°­¸ª,2017-03-30,9.5,17.4,,3.3,42.1,12.5,19.45,
105,°­¸ª,2017-03-31,5.1,9.9,6.5,1.6,77.9,12.6,3.36,
105,°­¸ª,2017-04-01,4.2,7.2,8,1.5,81.8,12.6,5.16,
105,°­¸ª,2017-04-02,3.2,14.1,.5,2.1,51.5,12.7,24.24,
105,°­¸ª,2017-04-03,11,22.9,,3.4,24.1,12.7,24.78,
105,°­¸ª,2017-04-04,11.6,23.5,,2.5,28.4,12.7,23.29,
105,°­¸ª,2017-04-05,10.7,18.3,3,2,45.1,12.8,5.07,
105,°­¸ª,2017-04-06,10.4,21,2,2.6,62.1,12.8,17.74,
105,°­¸ª,2017-04-07,10.7,19.9,,2.5,59.5,12.9,23.34,
105,°­¸ª,2017-04-08,10,23.8,,1.5,60.5,12.9,21.89,
105,°­¸ª,2017-04-09,7,15.3,6.5,2,63.9,12.9,10.13,
