지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
168,여수,2017-01-01,2.7,11,,1.9,63.1,9.9,7.66,.3
168,여수,2017-01-02,5.4,13.7,0,3.3,57,9.9,6.81,4.5
168,여수,2017-01-03,4.1,11.2,,3.4,44.9,9.9,8.47,0
168,여수,2017-01-04,5,11.6,,2.1,45,9.9,6.91,2.4
168,여수,2017-01-05,6,9.9,0,5.9,52.8,9.9,3.13,8.6
168,여수,2017-01-06,6.4,10.4,0,5.6,54.6,9.9,8.17,3.9
168,여수,2017-01-07,5.2,9.4,1.4,5.1,59,10,3.02,7.5
168,여수,2017-01-08,7,12.9,3.4,5.3,62.3,10,5.82,7.5
168,여수,2017-01-09,2.6,8.9,,6.8,48.5,10,5.51,4.8
168,여수,2017-01-10,.4,6.6,,7.3,44.1,10,8.81,.8
168,여수,2017-01-11,-2.7,4.1,,6.1,34.1,10,9.95,2
168,여수,2017-01-12,.7,7.4,,4.7,50.5,10,4.75,4
168,여수,2017-01-13,-1.4,6,0,5,50.5,10.1,6.21,2.8
168,여수,2017-01-14,-4.7,.8,,8.8,41.1,10.1,9.62,.1
168,여수,2017-01-15,-6.8,3.6,,6.7,28.5,10.1,10.91,0
168,여수,2017-01-16,-2,6.2,,4,29.6,10.1,10.12,.9
168,여수,2017-01-17,.1,7.4,,2.5,35.6,10.1,6.62,4.1
168,여수,2017-01-18,1.6,7.4,,3,39.9,10.2,6.95,3.8
168,여수,2017-01-19,1.8,8.4,,3.8,43.5,10.2,7.54,2.3
168,여수,2017-01-20,-2,2.8,.1,7.5,56.8,10.2,6.95,4.8
168,여수,2017-01-21,-2.6,4.4,0,5.3,51.9,10.2,7.46,2.8
168,여수,2017-01-22,-3.4,1.5,0,6.8,50.3,10.2,6.4,4.8
168,여수,2017-01-23,-5.4,.9,,7.5,42.4,10.3,10.07,0
168,여수,2017-01-24,-3.9,3,,6.6,42.6,10.3,10.51,0
168,여수,2017-01-25,-3.6,5.3,,4.4,43.6,10.3,10.13,0
168,여수,2017-01-26,-3.2,6.9,,2.9,43.1,10.3,9.97,.5
168,여수,2017-01-27,1.1,8.3,0,5.6,39.9,10.4,10.29,3.8
168,여수,2017-01-28,-1.3,10.6,,1.8,42.3,10.4,10.42,2.4
168,여수,2017-01-29,5.1,8.2,6.3,3.4,78,10.4,1.98,10
168,여수,2017-01-30,-2.4,8.1,.3,8.1,47,10.5,10,2.9
168,여수,2017-01-31,-3.7,6.5,,2.7,37.3,10.5,10.34,1.5
168,여수,2017-02-01,-.4,6.3,,7.1,31.3,10.5,10.09,2.3
168,여수,2017-02-02,-2,8.3,,8,21.4,10.5,12.64,0
168,여수,2017-02-03,0,9.5,,2.7,41.8,10.6,8.91,3.8
168,여수,2017-02-04,5,10.1,5.6,2.1,52.3,10.6,4.39,9.1
168,여수,2017-02-05,4,10.2,3.3,5.5,71.4,10.6,5.45,6.8
168,여수,2017-02-06,.1,5.6,,7.1,40.1,10.7,11.48,.8
168,여수,2017-02-07,-.7,8.5,,3,43.1,10.7,10.06,5
168,여수,2017-02-08,1.2,6.8,0,4.1,44.8,10.7,3.64,10
168,여수,2017-02-09,-2.8,1.8,0,9,43,10.8,11.55,5
168,여수,2017-02-10,-4,.9,,8.6,43.4,10.8,12.4,1.6
168,여수,2017-02-11,-4.3,3,0,6.4,45.3,10.8,11.91,.3
168,여수,2017-02-12,-1.2,7.2,,7.1,41.4,10.9,12.96,0
168,여수,2017-02-13,-1,9.8,,4.1,43,10.9,11.04,.5
168,여수,2017-02-14,2.7,10.2,,3.9,38.6,10.9,12.87,0
