지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),전운량(10분위),운형(운형약어),지면온도(°C)
119,수원,2019-01-01 01:00,-4.3,,1.3,290,66,,,3,,-5.1
119,수원,2019-01-01 02:00,-5.3,,1.2,270,72,,,0,,-5.8
119,수원,2019-01-01 03:00,-6.6,,.8,270,79,,,0,,-6.4
119,수원,2019-01-01 04:00,-6.9,,.2,0,80,,,0,,-6.6
119,수원,2019-01-01 05:00,-6.9,,1.6,270,80,,,1,Ci,-7
119,수원,2019-01-01 06:00,-8.2,,.7,180,86,,,3,Ci,-7.4
119,수원,2019-01-01 07:00,-8.7,,.2,0,89,,,4,Ac,-7.5
119,수원,2019-01-01 08:00,-8,,.2,0,89,0,0,7,Ac,-6.9
119,수원,2019-01-01 09:00,-5.4,,.6,270,71,0,.15,7,Ac,-5
119,수원,2019-01-01 10:00,-3.2,,.7,320,55,.8,.63,6,AcCi,-4
119,수원,2019-01-01 11:00,-2.8,,1.8,290,50,1,1.09,2,ScCi,-1.4
119,수원,2019-01-01 12:00,-.9,,2.2,320,51,1,1.37,1,Sc,-.5
119,수원,2019-01-01 13:00,-1.4,,4,290,56,.6,1.2,7,Sc,-.2
119,수원,2019-01-01 14:00,-1.2,,4.2,290,57,.4,.94,8,Sc,0
119,수원,2019-01-01 15:00,-1.2,,3.3,290,59,.4,.74,5,Sc,-.5
119,수원,2019-01-01 16:00,-.7,,3.3,290,59,.7,.61,3,Sc,-1
119,수원,2019-01-01 17:00,-1.8,,3.4,290,58,.4,.19,1,Sc,-2.3
119,수원,2019-01-01 18:00,-2.6,,2.3,290,61,0,.01,1,Sc,-3.4
119,수원,2019-01-01 19:00,-3.1,,2,290,59,,,0,,-4
119,수원,2019-01-01 20:00,-3.7,,1.3,270,54,,,0,,-4.6
119,수원,2019-01-01 21:00,-4.3,,1.7,290,55,,,0,,-5.2
119,수원,2019-01-01 22:00,-4.5,,2.9,290,49,,,0,,-5.4
119,수원,2019-01-01 23:00,-4.8,,3.6,340,50,,,0,,-5.7
119,수원,2019-01-02 00:00,-6.1,,1.1,290,56,,,0,,-6.4
119,수원,2019-01-02 01:00,-6.8,,1,290,58,,,0,,-6.8
119,수원,2019-01-02 02:00,-8.4,,.4,0,68,,,0,,-7.2
119,수원,2019-01-02 03:00,-9.3,,.1,0,75,,,0,,-7.6
119,수원,2019-01-02 04:00,-9.7,,.4,0,78,,,0,,-7.9
119,수원,2019-01-02 05:00,-10.1,,.3,0,86,,,0,,-8.2
119,수원,2019-01-02 06:00,-10.7,,0,0,88,,,0,,-8.4
119,수원,2019-01-02 07:00,-10.3,,.1,0,89,,,0,,-8.6
119,수원,2019-01-02 08:00,-10.3,,.1,0,88,0,0,0,,-8.6
119,수원,2019-01-02 09:00,-6.5,,.2,0,69,.9,.3,0,,-7.6
119,수원,2019-01-02 10:00,-3.9,,.7,200,55,1,.84,0,,-6.1
119,수원,2019-01-02 11:00,-1.3,,2.7,290,50,1,1.3,0,,-2.2
119,수원,2019-01-02 12:00,-.4,,2.2,290,38,1,1.63,0,,-.4
119,수원,2019-01-02 13:00,.5,,2,290,36,1,1.71,0,,-2.3
119,수원,2019-01-02 14:00,.6,,2.4,270,35,1,1.59,0,,-1.3
119,수원,2019-01-02 15:00,.5,,3.5,250,32,1,1.37,0,,-1.7
119,수원,2019-01-02 16:00,-1.1,,3.2,270,33,1,.92,0,,-2.6
119,수원,2019-01-02 17:00,-1.9,,2.7,270,38,.9,.35,0,,-3.3
119,수원,2019-01-02 18:00,-3.1,,1.9,270,51,.2,.02,0,,-4.2
119,수원,2019-01-02 19:00,-3.6,,1.4,290,48,,,0,,-5
119,수원,2019-01-02 20:00,-4.3,,.9,290,53,,,0,,-5.7
119,수원,2019-01-02 21:00,-6,,.5,180,62,,,0,,-6.2
119,수원,2019-01-02 22:00,-7,,0,0,66,,,0,,-6.7
119,수원,2019-01-02 23:00,-7.4,,.4,0,71,,,2,,-7
